Vcontrol	freq
-0.20	0.9982192000
-0.20	0.9982269421
-0.20	0.9982346963
-0.20	0.9982424627
-0.20	0.9982502412
-0.20	0.9982580319
-0.19	0.9982658347
-0.19	0.9982736497
-0.19	0.9982814768
-0.19	0.9982893160
-0.19	0.9982971674
-0.19	0.9983050308
-0.19	0.9983129064
-0.19	0.9983207941
-0.19	0.9983286939
-0.19	0.9983366058
-0.18	0.9983445298
-0.18	0.9983524659
-0.18	0.9983604141
-0.18	0.9983683744
-0.18	0.9983763467
-0.18	0.9983843311
-0.18	0.9983923276
-0.18	0.9984003362
-0.18	0.9984083568
-0.18	0.9984163895
-0.17	0.9984244342
-0.17	0.9984324909
-0.17	0.9984405597
-0.17	0.9984486405
-0.17	0.9984567334
-0.17	0.9984648382
-0.17	0.9984729551
-0.17	0.9984810840
-0.17	0.9984892249
-0.17	0.9984973778
-0.16	0.9985055426
-0.16	0.9985137195
-0.16	0.9985219083
-0.16	0.9985301091
-0.16	0.9985383219
-0.16	0.9985465467
-0.16	0.9985547833
-0.16	0.9985630320
-0.16	0.9985712925
-0.16	0.9985795650
-0.15	0.9985878494
-0.15	0.9985961458
-0.15	0.9986044540
-0.15	0.9986127742
-0.15	0.9986211063
-0.15	0.9986294502
-0.15	0.9986378060
-0.15	0.9986461737
-0.15	0.9986545533
-0.15	0.9986629447
-0.14	0.9986713480
-0.14	0.9986797631
-0.14	0.9986881901
-0.14	0.9986966289
-0.14	0.9987050795
-0.14	0.9987135420
-0.14	0.9987220162
-0.14	0.9987305022
-0.14	0.9987390001
-0.14	0.9987475097
-0.13	0.9987560311
-0.13	0.9987645642
-0.13	0.9987731091
-0.13	0.9987816658
-0.13	0.9987902342
-0.13	0.9987988143
-0.13	0.9988074061
-0.13	0.9988160097
-0.13	0.9988246250
-0.13	0.9988332520
-0.12	0.9988418906
-0.12	0.9988505409
-0.12	0.9988592029
-0.12	0.9988678766
-0.12	0.9988765619
-0.12	0.9988852589
-0.12	0.9988939675
-0.12	0.9989026877
-0.12	0.9989114195
-0.12	0.9989201629
-0.11	0.9989289179
-0.11	0.9989376845
-0.11	0.9989464627
-0.11	0.9989552525
-0.11	0.9989640538
-0.11	0.9989728666
-0.11	0.9989816910
-0.11	0.9989905269
-0.11	0.9989993743
-0.11	0.9990082332
-0.10	0.9990171036
-0.10	0.9990259855
-0.10	0.9990348789
-0.10	0.9990437837
-0.10	0.9990527000
-0.10	0.9990616277
-0.10	0.9990705669
-0.10	0.9990795174
-0.10	0.9990884794
-0.10	0.9990974528
-0.09	0.9991064375
-0.09	0.9991154337
-0.09	0.9991244411
-0.09	0.9991334600
-0.09	0.9991424902
